id,title,cluster,trust_blocks_count,named_refs_count,trust_score
5416,Dog Bed Types Explained: A Complete Glossary,Dog Beds,4,5,100
4792,Puppy Socialisation: A Complete Timeline Guide,Puppy Care,4,5,100
4570,First-Time Dog Owner Essentials: What You Need to Know,Dog Care,4,7,100
4414,Harness vs Collar: Which Is Better for Your Dog?,Dog Harnesses,4,6,100
5424,Aggressive Chewer Guide: Safe Toys for Power Chewers,Dog Toys,4,7,100
5422,Indoor vs Outdoor Dog Toys: Choosing the Right Type,Dog Toys,4,5,100
5418,Dog Harness Types Explained: Finding the Right Fit,Dog Harnesses,4,6,100
4057,Best Dog Grooming Supplies UK (2026) – Complete Guide,Dog Care,4,5,100
4049,Best Puppy Collars UK (2026) – First Collar & Harness Guide,Puppy Care,4,5,100
4042,Best Dog Leads UK (2026) – Walking & Training Lead Guide,Training Supplies,4,4,100
4018,Best Puppy Beds UK (2026) – First Bed & Crate Training Guide,Dog Beds,4,4,100
3996,Best Dog Beds UK (2026) – Complete Guide & Honest Reviews,Dog Beds,4,4,100
3838,Dry vs Wet Dog Food UK - An Honest Comparison Guide,Dog Food,4,6,100
5425,Dog Toys FAQ: Common Questions Answered,Dog Toys,4,6,100
5421,Puppy-Safe Dog Toys: What to Look For and What to Avoid,Dog Toys,4,5,100
4786,Where to Place Your Dog's Bed: Location and Comfort Tips,Dog Beds,4,6,100
4132,Best Puppy Training Guide UK (2026) – First Year Essentials,Training Supplies,4,5,100
5935,Dog Toy Storage and Organisation: Keeping Toys Clean and Accessible,Uncategorized,4,6,100
5476,"Mental Stimulation Toys for Dogs: Puzzles, Games, and Brain Work",Uncategorized,4,6,100
4791,How to Choose the Right Dog Training Treats,Training Supplies,4,6,100
4406,Best Interactive Cat Toys for Indoor Cats: Engagement Guide,Cat Toys,4,8,100
4412,No-Pull Dog Harness Guide: How They Work and When to Use One,Dog Harnesses,4,6,100
4411,"Dog Harnesses: The Complete Guide to Types, Fitting, and Safety",Dog Harnesses,4,6,100
4272,Best Cat ID Tags UK (2026) – Identification Guide,Cat Supplies,4,10,100
4244,Best Cat Nail Clippers UK (2026) – Safe Trimming Guide,Cat Supplies,4,5,100
4237,Best Cat Brushes UK (2026) – Guide by Coat Type,Cat Supplies,4,5,100
4216,Best Cat Radiator Beds UK (2026) – Hook-On Warmth Guide,Cat Supplies,4,8,100
4202,Best Cat Beds UK (2026) – Complete Guide,Cat Supplies,4,6,100
4188,Best Catnip Toys UK (2026) – What Works and Why,Cat Toys,4,8,100
4174,Best Cat Toys UK (2026) – Complete Guide,Cat Toys,4,8,100
4139,Best Dog Training Leads UK (2026) – Long Lines & Harnesses,Training Supplies,4,4,100
4118,Best Dog Training and Behaviour UK (2026) – Complete Guide,Training Supplies,4,6,100
4078,Best Dog Nail Clippers UK (2026) – Trimming & Grinding Guide,Dog Care,4,5,100
4071,Best Dog Shampoo UK (2026) – Ingredients & Safety Guide,Dog Care,4,6,100
4064,Best Dog Brushes UK (2026) – Guide by Coat Type,Dog Care,4,5,100
4011,Best Cooling Dog Beds UK (2026) – Temperature Regulation Guide,Dog Beds,4,4,100
4004,Best Orthopaedic Dog Beds UK (2026) – Joint Support Guide,Dog Beds,4,5,100
3960,Best Puppy Toys UK (2026) – Teething & First Toys Guide,Dog Toys,4,6,100
6046,Dog Toy Hygiene Schedules: A Practical Cleaning Timetable,Uncategorized,4,6,100
6045,Safe Multi-Dog Toy Management: Preventing Resource Guarding,Uncategorized,4,6,100
6039,Dog Toy Anxiety Reduction: Using Toys to Calm Nervous Dogs,Uncategorized,4,6,100
5950,Dog Toy Durability Guide: What Lasts and What Does Not,Uncategorized,4,7,100
5473,Senior Dog Toys: Gentle Play Options for Older Dogs,Uncategorized,4,6,100
3839,Best Puppy Food UK (2026) - Growth-Stage Nutrition Guide,Dog Food,4,7,100
3836,Best Dog Food UK (2026) - Complete Buying Guide,Dog Food,3,6,85
7341,First Week with a New Puppy: A Day-by-Day Guide,Dog Care,4,7,100
7340,"Puppy Teething Guide: Stages, Signs, and Soothing Tips",Dog Health,4,6,100
7339,Puppy Sleep Guide: How Much Sleep Puppies Need by Age,Dog Care,4,5,100
7338,Puppy-Proofing Your Home: A Room-by-Room Safety Guide,Dog Care,4,5,100
7337,Puppy Vaccination Schedule UK: What to Expect and When,Dog Health,4,6,100
7334,Puppy Bed Training: Helping Your Dog Love Their Bed,Dog Beds,4,4,100
5946,"Dog Toy Materials Compared: Rubber, Rope, Plush, and Nylon",Uncategorized,4,7,100
4784,"Dog Bed Materials Explained: Foam, Memory Foam, and More",Dog Beds,4,4,100
4568,Dog Dental Health: A Practical Care Guide,Dog Health,4,6,100
4563,Dog Grooming Basics: A Complete Guide for Owners,Dog Care,4,4,100
4415,Cat Toy Safety Guide: What Every Owner Should Know,Cat Toys,4,6,100
4251,Best Cat Shampoo UK (2026) – When & How to Bathe,Cat Supplies,4,6,100
7336,Dog Bed Safety: Avoiding Hazards and Choosing Non-Toxic Materials,Dog Beds,4,5,100
7172,Dog Food Glossary: Understanding Ingredients and Nutrition Labels,Dog Food,4,6,100
6048,Confidence-Building Play: Helping Shy and Fearful Dogs Through Toys,Uncategorized,4,7,100
5938,Enrichment Schedules for Dogs: Structuring Daily Play and Mental Work,Uncategorized,4,6,100
5471,"Dog Boredom Prevention: Signs, Solutions, and Enrichment Ideas",Uncategorized,4,6,100
5464,Pet Grooming Glossary: Understanding Grooming Terms and Techniques,Uncategorized,4,8,100
5462,Dog Training Terminology Explained: Key Concepts for New Owners,Uncategorized,4,7,100
5423,Dog Toy Enrichment: Beyond Basic Fetch,Dog Toys,4,4,100
5420,Dog Toy Cleaning Guide: How to Keep Toys Hygienic,Dog Toys,4,4,100
5414,Cat Toy Types Explained: A Complete Glossary,Uncategorized,4,9,100
5296,Best Indoor Cat Toys UK (2026): Complete Guide for House Cats,Uncategorized,4,9,100
5035,Cat Enrichment Beyond Toys: Creating a Stimulating Home,Cat Toys,4,8,100
4790,DIY Dog Toys: Safe Homemade Options,Dog Toys,4,4,100
4788,Mental Stimulation for Dogs: Beyond Physical Exercise,Dog Toys,4,6,100
4785,How to Wash and Maintain Your Dog's Bed,Dog Beds,4,4,100
4783,How to Choose the Right Dog Bed Size,Dog Beds,3,5,85
4576,Multi-Pet Household Tips: Living with Dogs and Cats Together,Pet Care,4,9,100
4413,How to Measure Your Dog for a Harness: Step-by-Step Guide,Dog Harnesses,4,6,100
4409,Kitten vs Adult Cat Toys: Age-Appropriate Play Guide,Cat Toys,4,8,100
4407,DIY Cat Toys: Safe Homemade Options Your Cat Will Love,Cat Toys,4,8,100
4286,Best Cat Scratching Posts UK (2026) – Complete Guide,Cat Supplies,3,7,85
4279,Best Cat Harnesses UK (2026) – Safe Walking Guide,Cat Supplies,4,7,100
4258,Best Cat Collars UK (2026) – Complete Safety Guide,Cat Supplies,4,8,100
4167,Best Dog Water Bottles UK (2026) – Travel Hydration Guide,Dog Supplies,3,7,85
4146,Best Dog Bowls and Feeding UK (2026) – Complete Guide,Dog Supplies,4,6,100
4125,Best Dog Training Treats UK (2026) – Reward Guide,Training Supplies,4,7,100
4096,Best Dog Dental Care UK (2026) – Teeth Cleaning Guide,Dog Health,4,5,100
4089,Best Dog Health and Care UK (2026) – Complete Guide,Dog Health,4,9,100
4034,Best No-Pull Dog Harnesses UK (2026) – Training & Comfort Guide,Dog Harnesses,4,6,100
4027,Best Dog Collars and Harnesses UK (2026) – Complete Guide,Dog Harnesses,4,6,100
3837,Best Dry Dog Food UK (2026) - Evidence-Based Guide,Dog Food,3,6,85
7333,Dog Bed Placement Guide: Where to Put Your Dog’s Bed,Dog Beds,4,5,100
7174,"Dog Bed Terminology: Materials, Types, and Sizing Terms Explained",Dog Beds,3,5,90
6052,Low-Mobility Enrichment: Mental Stimulation for Dogs with Limited Movement,Uncategorized,4,5,100
6049,Sensory Enrichment for Dogs: Engaging All Five Senses Through Play,Uncategorized,4,6,100
6047,Play Recovery After Surgery: Gentle Enrichment for Healing Dogs,Uncategorized,4,5,100
5942,Cognitive Enrichment for Senior Dogs: Gentle Play for Ageing Minds,Uncategorized,4,5,100
5932,Scent-Game Enrichment for Dogs: Using Smell to Engage Your Dog,Uncategorized,4,6,100
5931,Signs of Toy Overstimulation in Dogs: When Play Becomes Too Much,Uncategorized,4,6,100
5930,Dog Toy Safety by Breed Size: Choosing the Right Size Toy,Uncategorized,4,7,100
5512,Dog Behaviour Explained: Understanding Your Dog's Body Language and Actions,Uncategorized,3,5,85
5509,"Pet Toy Safety: Understanding Materials, Hazards, and Standards",Uncategorized,3,9,85
5483,Dog Toy Lifespan: When to Replace Toys and How to Extend Their Life,Uncategorized,3,6,85
5417,Puppy Care Essentials: Key Terms Every New Owner Should Know,Dog Care,3,7,85
5033,How to Choose the Right Cat Toy for Your Cat's Personality,Cat Toys,4,8,100
5034,Cat Toy Rotation: How to Keep Toys Fresh and Engaging,Cat Toys,4,8,100
4787,Dog Toy Safety: What Every Owner Needs to Know,Dog Toys,4,5,100
4408,How Often Should You Replace Cat Toys? A Practical Guide,Cat Toys,4,8,100
4335,Best Cat Litter Disposal UK (2026) – Waste Management Guide,Cat Supplies,4,6,100
4328,Best Self-Cleaning Litter Trays UK (2026) – Automatic Options,Cat Supplies,4,6,100
4321,Best Cat Litter UK (2026) – Types &#038; Comparison Guide,Cat Supplies,4,8,100
4307,Best Wall-Mounted Cat Scratchers UK (2026) – Space Saving,Cat Supplies,4,8,100
4265,Best Cat GPS Trackers UK (2026) – Location Tracking Guide,Cat Supplies,4,9,100
4230,Best Cat Grooming Supplies UK (2026) – Complete Guide,Cat Supplies,4,8,100
4223,Best Cat Window Perches UK (2026) – Sunning & Bird Watching,Cat Supplies,4,8,100
4209,Best Heated Cat Beds UK (2026) – Winter Warmth Guide,Cat Supplies,4,8,100
4181,Best Interactive Cat Toys UK (2026) – Wand & Puzzle Guide,Cat Toys,4,8,100
7335,Seasonal Dog Bedding: Adjusting Comfort Through the Year,Dog Beds,4,5,100
7332,How to Wash and Dry a Dog Bed Safely,Dog Beds,4,5,100
7170,Dog Health Terminology: Understanding Common Veterinary and Care Terms,Dog Health,2,7,75
4573,Seasonal Pet Safety: Protecting Pets Through the Year,Pet Care,4,9,100
4410,Cat Enrichment Activities Beyond Toys: Complete Guide,Cat Toys,4,6,100
3959,Best Interactive Dog Toys UK (2026) – Puzzle & Enrichment Guide,Dog Toys,4,5,100
3957,Best Indestructible Dog Toys UK (2026) – Tough Toys for Heavy Chewers,Dog Toys,4,6,100
3956,Best Dog Toys UK (2026) – Complete Guide & Honest Reviews,Dog Toys,4,6,100
7346,Indoor Cat Diet and Nutrition: Feeding Guidelines for House Cats,Indoor Cats,4,9,100
7345,Indoor Cat Behaviour: Understanding and Managing Common Issues,Indoor Cats,4,7,100
7344,Creating a Cat-Friendly Home: Environmental Enrichment for Indoor Cats,Indoor Cats,4,7,100
7343,Indoor Cat Safety: Common Household Hazards for Cats,Indoor Cats,4,7,100
7342,Indoor Cat Exercise: Keeping House Cats Active and Healthy,Indoor Cats,4,7,100
6050,Toy Overstimulation Recovery: Calming Down an Overexcited Dog,Uncategorized,4,6,100
6044,Rotating Puzzle Complexity: Progressive Challenge for Smart Dogs,Uncategorized,3,7,85
6042,Enrichment by Breed Group: Tailoring Play to Your Dog's Instincts,Uncategorized,4,6,100
5934,Crate and Play Enrichment: Keeping Dogs Happy in Confined Spaces,Uncategorized,4,6,100
5933,"Safe Tug Play with Dogs: Rules, Benefits, and Common Mistakes",Uncategorized,3,6,85
5523,"Dog Training Equipment Explained: Tools, Uses, and What to Avoid",Uncategorized,3,6,85
5521,Pet Health Terminology: A Guide to Common Veterinary Terms,Uncategorized,3,7,85
5511,"Pet Enrichment Explained: Types, Benefits, and Practical Ideas",Uncategorized,3,8,85
5469,Dog Toy Rotation: How to Keep Your Dog Interested and Engaged,Uncategorized,3,6,85
5467,"Pet Feeding Guide: Understanding Portions, Schedules, and Methods",Uncategorized,3,7,85
5460,Pet Nutrition Terminology: A Guide to Common Terms on Pet Food Labels,Uncategorized,3,8,85
5458,Cat Scratching Behaviour Explained: Why Cats Scratch and How to Help,Uncategorized,4,7,100
5419,Cat Care Basics: A Glossary for New Cat Owners,Cat Supplies,3,8,85
5415,Dog Play Styles Explained: Understanding How Your Dog Plays,Uncategorized,3,8,85
5036,Understanding Cat Play Behaviour: What Different Play Styles Mean,Cat Toys,4,9,100
4566,Seasonal Dog Care: Keeping Your Dog Safe Year-Round,Dog Care,4,8,100
4195,Best Cat Toys for Indoor Cats UK (2026) – Enrichment Guide,Cat Toys,4,8,100
4160,Best Elevated Dog Bowls UK (2026) – Raised Feeder Guide,Dog Supplies,3,7,85
4153,Best Slow Feeder Dog Bowls UK (2026) – Prevent Speed Eating,Dog Supplies,3,7,85
4110,Best Dog Joint Supplements UK (2026) – Mobility Support Guide,Dog Health,3,7,85
4103,Best Dog Flea Treatment UK (2026) – Prevention Guide,Dog Health,3,7,85
696,Essential Cat Supplies for Cat Owners - Number 1 Must-Haves,Cat Supplies,3,6,85
7169,Puppy Care Glossary: Essential Terms for New Puppy Owners,Dog Care,2,5,75
5519,Indoor Cat Care: A Complete Guide to Keeping House Cats Happy and Healthy,Uncategorized,3,8,85
5508,Puppy Development Stages: A Complete Guide from Birth to Maturity,Uncategorized,3,7,85
4574,Pet Hydration Guide: How Much Water Does Your Pet Need?,Dog Supplies,3,8,85
4571,Pet First Aid Basics: What Every Owner Should Know,Dog Supplies,3,5,85
4300,Best Cardboard Cat Scratchers UK (2026) – Budget Friendly,Cat Supplies,3,6,85
4293,Best Cat Trees UK (2026) – Climbing & Scratching Towers,Cat Supplies,3,8,85
7175,Cat Supply Essentials Glossary: Understanding Cat Care Products,Cat Supplies,4,6,100
7167,Indoor Cat Terminology: A Complete Glossary for Cat Owners,Indoor Cats,3,7,90
4789,Best Types of Dog Toys for Different Play Styles,Dog Toys,4,5,100
3,Dog Toys UK (2026) – Essential Guide for Pet Owners,Dog Supplies,4,4,100
5520,"Dog Health Basics: Common Conditions, Prevention, and When to See a Vet",Uncategorized,2,7,70
5510,Dog Bed Sizing Guide: How to Measure Your Dog and Choose the Right Fit,Uncategorized,2,7,70
5032,Cat Toys FAQ: Common Questions Answered,Cat Toys,2,8,70
4314,Best Cat Litter Trays UK (2026) – Complete Guide,Cat Supplies,3,8,85
8171,Why PetHub Online Exists,Uncategorized,3,7,85
7177,Cat Toy Terminology: Understanding Play Types and Toy Features,Cat Toys,3,6,90
5522,"Orthopaedic Care for Dogs: Joint Health, Mobility, and Support",Uncategorized,3,7,85
8172,Our Research Standards,Uncategorized,2,9,70
